image_id,category,concept_key,name_en,current_filename,recommended_filename,semantic_category,semantic_subcategory,semantic_concept,semantic_variant,rename_action
IMG_GRAMMAR_QUESTION_PARTICLE,icon_grammar,grammar_question_particle,Question Particle,img__grammar_question_particle__v1.webp,icon_grammar_question_particle_icon_001.webp,icon,grammar,question_particle,icon,rename
IMG_GRAMMAR_STRUCTURAL_PARTICLE_BEFORE_ADVERBIAL,icon_grammar,grammar_structural_particle_before_adverbial,Structural Particle (Before Adverbial),img__grammar_structural_particle_before_adverbial__v1.webp,icon_grammar_structural_particle_before_adverbial_icon_001.webp,icon,grammar,structural_particle_before_adverbial,icon,rename
IMG_GRAMMAR_THAT,icon_grammar,grammar_that,That,img__grammar_that__v1.webp,icon_grammar_that_icon_001.webp,icon,grammar,that,icon,rename
IMG_GRAMMAR_THESE,icon_grammar,grammar_these,These,img__grammar_these__v1.webp,icon_grammar_these_icon_001.webp,icon,grammar,these,icon,rename
IMG_GRAMMAR_THIS,icon_grammar,grammar_this,This,img__grammar_this__v1.webp,icon_grammar_this_icon_001.webp,icon,grammar,this,icon,rename
IMG_GRAMMAR_THOSE,icon_grammar,grammar_those,Those,img__grammar_those__v1.webp,icon_grammar_those_icon_001.webp,icon,grammar,those,icon,rename
IMG_LOCATION_ABROAD,location,location_abroad,Abroad,img__location_abroad__v1.webp,location_outdoor_abroad_scene_001.webp,location,outdoor,abroad,scene,rename
IMG_LOCATION_AFTER_SCHOOL,location,location_after_school,After School,img__location_after_school__v1.webp,location_building_after_school_scene_001.webp,location,building,after_school,scene,rename
IMG_LOCATION_AIRPORT,location,location_airport,Airport,img__location_airport__v1.webp,location_outdoor_airport_scene_001.webp,location,outdoor,airport,scene,rename
IMG_LOCATION_AT_HOME,location,location_at_home,At Home,img__location_at_home__v1.webp,location_building_at_home_scene_001.webp,location,building,at_home,scene,rename
IMG_LOCATION_BEIJING,location,location_beijing,Beijing,img__location_beijing__v1.webp,location_building_beijing_scene_001.webp,location,building,beijing,scene,rename
IMG_LOCATION_BOOKSTORE,location,location_bookstore,Bookstore,img__location_bookstore__v1.webp,location_indoor_bookstore_scene_001.webp,location,indoor,bookstore,scene,rename
IMG_LOCATION_COUNTRY,location,location_country,Country,img__location_country__v1.webp,location_outdoor_country_scene_001.webp,location,outdoor,country,scene,rename
IMG_LOCATION_ELECTRICITY,location,location_electricity,Electricity,img__location_electricity__v1.webp,location_building_electricity_scene_001.webp,location,building,electricity,scene,rename
IMG_LOCATION_ELEMENTARY_SCHOOL_STUDENT,location,location_elementary_school_student,Elementary School Student,img__location_elementary_school_student__v1.webp,location_building_elementary_school_student_scene_001.webp,location,building,elementary_school_student,scene,rename
IMG_LOCATION_FOREIGN_COUNTRY,location,location_foreign_country,Foreign Country,img__location_foreign_country__v1.webp,location_building_foreign_country_scene_001.webp,location,building,foreign_country,scene,rename
IMG_LOCATION_GO_HOME,location,location_go_home,Go Home,img__location_go_home__v1.webp,location_building_go_home_scene_001.webp,location,building,go_home,scene,rename
IMG_LOCATION_GOING_TO_SCHOOL,location,location_going_to_school,Going To School,img__location_going_to_school__v1.webp,location_building_going_to_school_scene_001.webp,location,building,going_to_school,scene,rename
IMG_LOCATION_HOME,location,location_home,Home,img__location_home__v1.webp,location_indoor_home_scene_001.webp,location,indoor,home,scene,rename
IMG_LOCATION_HOSPITAL,location,location_hospital,Hospital,img__location_hospital__v1.webp,location_indoor_hospital_scene_001.webp,location,indoor,hospital,scene,rename
IMG_LOCATION_HOUSE,location,location_house,House,img__location_house__v1.webp,location_indoor_house_scene_001.webp,location,indoor,house,scene,rename
IMG_LOCATION_MIDDLE_SCHOOL,location,location_middle_school,Middle School,img__location_middle_school__v1.webp,location_building_middle_school_scene_001.webp,location,building,middle_school,scene,rename
IMG_LOCATION_MIDDLE_SCHOOL_STUDENT,location,location_middle_school_student,Middle School Student,img__location_middle_school_student__v1.webp,location_building_middle_school_student_scene_001.webp,location,building,middle_school_student,scene,rename
IMG_LOCATION_ON_THE_ROAD,location,location_on_the_road,On The Road,img__location_on_the_road__v1.webp,location_building_on_the_road_scene_001.webp,location,building,on_the_road,scene,rename
IMG_LOCATION_PRIMARY_SCHOOL,location,location_primary_school,Primary School,img__location_primary_school__v1.webp,location_building_primary_school_scene_001.webp,location,building,primary_school,scene,rename
IMG_LOCATION_RESTAURANT,location,location_restaurant,Restaurant,img__location_restaurant__v1.webp,location_indoor_restaurant_scene_001.webp,location,indoor,restaurant,scene,rename
IMG_LOCATION_RESTROOM,location,location_restroom,Restroom,img__location_restroom__v1.webp,location_building_restroom_scene_001.webp,location,building,restroom,scene,rename
IMG_LOCATION_ROAD,location,location_road,Road,img__location_road__v1.webp,location_outdoor_road_scene_001.webp,location,outdoor,road,scene,rename
IMG_LOCATION_ROOM,location,location_room,Room,img__location_room__v1.webp,location_indoor_room_scene_001.webp,location,indoor,room,scene,rename
IMG_LOCATION_SCHOOL,location,location_school,School,img__location_school__v1.webp,location_indoor_school_scene_001.webp,location,indoor,school,scene,rename
IMG_LOCATION_SCHOOL_BAG,location,location_school_bag,School Bag,img__location_school_bag__v1.webp,location_building_school_bag_scene_001.webp,location,building,school_bag,scene,rename
IMG_LOCATION_SHOP,location,location_shop,Shop,img__location_shop__v1.webp,location_indoor_shop_scene_001.webp,location,indoor,shop,scene,rename
IMG_LOCATION_SHOPPING_MALL,location,location_shopping_mall,Shopping Mall,img__location_shopping_mall__v1.webp,location_building_shopping_mall_scene_001.webp,location,building,shopping_mall,scene,rename
IMG_LOCATION_STATION,location,location_station,Station,img__location_station__v1.webp,location_outdoor_station_scene_001.webp,location,outdoor,station,scene,rename
IMG_LOCATION_STORE,location,location_store,Store,img__location_store__v1.webp,location_indoor_store_scene_001.webp,location,indoor,store,scene,rename
IMG_LOCATION_STREET,location,location_street,Street,img__location_street__v1.webp,location_outdoor_street_scene_001.webp,location,outdoor,street,scene,rename
IMG_LOCATION_TRAIN_STATION,location,location_train_station,Train Station,img__location_train_station__v1.webp,location_outdoor_train_station_scene_001.webp,location,outdoor,train_station,scene,rename
IMG_NUMBER_EIGHT,count_visual,number_eight,Eight,img__number_eight__v1.webp,count_number_eight_dots_grid_2x4_001.webp,count,number,eight,dots_grid_2x4,rename
IMG_NUMBER_FIVE,count_visual,number_five,Five,img__number_five__v1.webp,count_number_five_dots_arc_001.webp,count,number,five,dots_arc,rename
IMG_NUMBER_FOUR,count_visual,number_four,Four,img__number_four__v1.webp,count_number_four_dots_grid_2x2_001.webp,count,number,four,dots_grid_2x2,rename
IMG_NUMBER_HALF,count_visual,number_half,Half,img__number_half__v1.webp,count_number_half_split_circle_001.webp,count,number,half,split_circle,rename
IMG_NUMBER_HUNDRED,count_visual,number_hundred,Hundred,img__number_hundred__v1.webp,count_number_hundred_dense_dot_grid_001.webp,count,number,hundred,dense_dot_grid,rename
IMG_NUMBER_NINE,count_visual,number_nine,Nine,img__number_nine__v1.webp,count_number_nine_dots_grid_3x3_001.webp,count,number,nine,dots_grid_3x3,rename
IMG_NUMBER_ONE,count_visual,number_one,One,img__number_one__v1.webp,count_number_one_single_dot_001.webp,count,number,one,single_dot,rename
IMG_NUMBER_SEVEN,count_visual,number_seven,Seven,img__number_seven__v1.webp,count_number_seven_dots_cluster_001.webp,count,number,seven,dots_cluster,rename
IMG_NUMBER_SIX,count_visual,number_six,Six,img__number_six__v1.webp,count_number_six_dots_grid_2x3_001.webp,count,number,six,dots_grid_2x3,rename
IMG_NUMBER_TEN,count_visual,number_ten,Ten,img__number_ten__v1.webp,count_number_ten_dots_columns_2x5_001.webp,count,number,ten,dots_columns_2x5,rename
IMG_NUMBER_THREE,count_visual,number_three,Three,img__number_three__v1.webp,count_number_three_three_dots_row_001.webp,count,number,three,three_dots_row,rename
IMG_NUMBER_TWO,count_visual,number_two,Two,img__number_two__v1.webp,count_number_two_two_dots_001.webp,count,number,two,two_dots,rename
IMG_NUMBER_ZERO,count_visual,number_zero,Zero,img__number_zero__v1.webp,count_number_zero_empty_circle_001.webp,count,number,zero,empty_circle,rename
IMG_OBJECT_A_FEW,object_scene,object_a_few,A Few,img__object_a_few__v1.webp,object_general_a_few_centered_001.webp,object,general,a_few,centered,rename
IMG_OBJECT_A_LITTLE_BIT,object_scene,object_a_little_bit,A Little Bit,img__object_a_little_bit__v1.webp,object_general_a_little_bit_centered_001.webp,object,general,a_little_bit,centered,rename
IMG_OBJECT_A_LITTLE_WHILE,object_scene,object_a_little_while,A Little While,img__object_a_little_while__v1.webp,object_general_a_little_while_centered_001.webp,object,general,a_little_while,centered,rename
IMG_OBJECT_A_MOMENT,object_scene,object_a_moment,A Moment,img__object_a_moment__v1.webp,object_general_a_moment_centered_001.webp,object,general,a_moment,centered,rename
IMG_OBJECT_ABOVE,object_scene,object_above,Above,img__object_above__v1.webp,object_general_above_centered_001.webp,object,general,above,centered,rename
IMG_OBJECT_ACTION,object_scene,object_action,Action,img__object_action__v1.webp,object_general_action_centered_001.webp,object,general,action,centered,rename
IMG_OBJECT_ADMISSION_TICKET,object_scene,object_admission_ticket,Admission Ticket,img__object_admission_ticket__v1.webp,object_general_admission_ticket_centered_001.webp,object,general,admission_ticket,centered,rename
IMG_OBJECT_AFTERNOON,object_scene,object_afternoon,Afternoon,img__object_afternoon__v1.webp,object_time_afternoon_centered_001.webp,object,time,afternoon,centered,rename
IMG_OBJECT_AGAIN,object_scene,object_again,Again,img__object_again__v1.webp,object_general_again_centered_001.webp,object,general,again,centered,rename
IMG_OBJECT_AIRPLANE,object_scene,object_airplane,Airplane,img__object_airplane__v1.webp,object_vehicle_airplane_centered_001.webp,object,vehicle,airplane,centered,rename
IMG_OBJECT_ALSO,object_scene,object_also,Also,img__object_also__v1.webp,object_general_also_centered_001.webp,object,general,also,centered,rename
IMG_OBJECT_AND_TOGETHER_WITH,object_scene,object_and_together_with,"And, Together With",img__object_and_together_with__v1.webp,object_general_and_together_with_centered_001.webp,object,general,and_together_with,centered,rename
IMG_OBJECT_ANSWER,object_scene,object_answer,Answer,img__object_answer__v1.webp,object_general_answer_centered_001.webp,object,general,answer,centered,rename
IMG_OBJECT_AT_IN_ON,object_scene,object_at_in_on,"At, In, On",img__object_at_in_on__v1.webp,object_general_at_in_on_centered_001.webp,object,general,at_in_on,centered,rename
IMG_OBJECT_ATTEND_CLASS,object_scene,object_attend_class,Attend Class,img__object_attend_class__v1.webp,object_general_attend_class_centered_001.webp,object,general,attend_class,centered,rename
IMG_OBJECT_BACK_SIDE,object_scene,object_back_side,Back Side,img__object_back_side__v1.webp,object_general_back_side_centered_001.webp,object,general,back_side,centered,rename
